line,type,level,gate_num,and,nand,or,nor,not,xor,fixed_0,fixed_1,non_fixed
36545,3,7.500000,16,6,2,4,2,2,0,0,2,2,
36601,3,7.500000,16,6,2,4,2,2,0,0,2,2,
36613,3,7.500000,16,6,2,4,2,2,0,0,2,2,
33900,3,14.500000,7,4,0,2,0,1,0,2,0,2,
12450,2,14.000000,54,18,0,13,9,14,0,2,0,2,
33955,3,16.500000,7,4,0,2,0,1,0,2,0,2,
12451,2,14.000000,54,18,0,13,9,14,0,2,0,2,
33904,3,14.500000,7,4,0,2,0,1,0,2,0,2,
33892,3,14.500000,7,4,0,2,0,1,0,2,0,2,
12441,2,14.000000,54,18,0,13,9,14,0,2,0,2,
19884,-2,3.000000,13,6,1,4,0,2,0,3,1,2,
19885,-2,3.000000,13,6,1,4,0,2,0,3,1,2,
18458,-1,4.000000,13,6,0,4,1,2,0,1,3,2,
18457,-1,4.000000,13,6,0,4,1,2,0,1,3,2,
15078,1,2.000000,5,1,0,3,1,0,0,0,2,2,
15083,1,2.000000,9,1,4,3,1,0,0,0,2,2,
17984,-1,3.000000,13,6,0,5,0,2,0,1,3,2,
17990,-1,3.000000,13,6,0,5,0,2,0,1,3,2,
12442,2,14.000000,54,18,0,13,9,14,0,2,0,2,
33896,3,14.500000,7,4,0,2,0,1,0,2,0,2,
9574,2,4.000000,34,15,4,11,0,4,0,6,4,2,
15103,1,3.000000,13,6,0,5,0,2,0,1,3,2,
33888,3,14.500000,7,4,0,2,0,1,0,2,0,2,
12433,2,14.000000,54,18,0,13,9,14,0,2,0,2,
16805,1,21.000000,19,3,0,2,0,14,0,2,0,2,
18516,-1,4.000000,13,6,0,4,1,2,0,1,3,2,
18511,-1,4.000000,13,6,0,4,1,2,0,1,3,2,
34057,3,11.500000,4,2,0,2,0,0,0,1,0,1,
38710,3,21.500000,4,2,0,2,0,0,0,1,0,1,
37275,3,20.500000,5,2,0,2,0,1,0,0,1,1,
37252,3,17.500000,5,2,0,2,0,1,0,0,1,1,
14494,2,20.000000,3,1,0,2,0,0,0,1,0,1,
14521,2,20.000000,3,1,0,2,0,0,0,1,0,1,
14548,2,20.000000,3,1,0,2,0,0,0,1,0,1,
14602,2,20.000000,3,1,0,2,0,0,0,1,0,1,
14575,2,20.000000,3,1,0,2,0,0,0,1,0,1,
33129,3,23.500000,14,2,0,2,0,10,0,1,0,1,
34547,3,18.500000,155,32,16,25,1,81,0,1,0,1,
34558,3,18.500000,150,30,16,23,1,80,0,1,0,1,
34569,3,18.500000,150,30,16,23,1,80,0,1,0,1,
34586,3,18.500000,166,38,16,27,1,84,0,1,0,1,
34587,3,18.500000,150,30,16,19,1,84,0,1,0,1,
34588,3,18.500000,165,36,16,24,1,88,0,1,0,1,
34589,3,18.500000,168,39,16,25,1,87,0,1,0,1,
34756,3,18.500000,146,29,16,23,1,77,0,1,0,1,
36420,3,7.500000,5,2,0,2,0,1,0,0,1,1,
36424,3,7.500000,5,2,0,2,0,1,0,0,1,1,
36416,3,7.500000,5,2,0,2,0,1,0,0,1,1,
36422,3,7.500000,5,2,0,2,0,1,0,0,1,1,
33973,3,16.500000,16,7,0,6,3,0,0,1,0,1,
35571,3,2.500000,7,2,0,2,3,0,0,0,1,1,
35573,3,2.500000,5,2,0,2,0,1,0,0,1,1,
35575,3,2.500000,7,2,0,2,3,0,0,0,1,1,
35577,3,2.500000,5,2,0,2,0,1,0,0,1,1,
35579,3,2.500000,7,2,0,2,3,0,0,0,1,1,
35581,3,2.500000,5,2,0,2,0,1,0,0,1,1,
35583,3,2.500000,7,2,0,2,3,0,0,0,1,1,
35585,3,2.500000,5,2,0,2,0,1,0,0,1,1,
35456,3,2.500000,7,2,0,2,3,0,0,0,1,1,
35458,3,2.500000,5,2,0,2,0,1,0,0,1,1,
35460,3,2.500000,7,2,0,2,3,0,0,0,1,1,
35462,3,2.500000,5,2,0,2,0,1,0,0,1,1,
35469,3,2.500000,7,2,0,2,3,0,0,0,1,1,
35471,3,2.500000,5,2,0,2,0,1,0,0,1,1,
35567,3,2.500000,7,2,0,2,3,0,0,0,1,1,
35569,3,2.500000,5,2,0,2,0,1,0,0,1,1,
33985,3,16.500000,16,7,0,6,3,0,0,1,0,1,
33821,3,12.500000,4,2,0,2,0,0,0,1,0,1,
36409,3,7.500000,5,2,0,2,0,1,0,0,1,1,
36418,3,7.500000,5,2,0,2,0,1,0,0,1,1,
36407,3,7.500000,5,2,0,2,0,1,0,0,1,1,
36411,3,7.500000,5,2,0,2,0,1,0,0,1,1,
36110,3,4.500000,5,2,0,2,0,1,0,0,1,1,
36172,3,4.500000,5,2,0,2,0,1,0,0,1,1,
36122,3,4.500000,5,2,0,2,0,1,0,0,1,1,
35970,3,4.500000,5,2,0,2,0,1,0,0,1,1,
36134,3,4.500000,5,2,0,2,0,1,0,0,1,1,
35978,3,4.500000,5,2,0,2,0,1,0,0,1,1,
36150,3,4.500000,5,2,0,2,0,1,0,0,1,1,
35990,3,4.500000,5,2,0,2,0,1,0,0,1,1,
33961,3,16.500000,16,7,0,6,3,0,0,1,0,1,
33965,3,16.500000,16,7,0,6,3,0,0,1,0,1,
36810,3,9.500000,5,2,0,2,0,1,0,0,1,1,
36811,3,9.500000,5,2,0,2,0,1,0,0,1,1,
36812,3,9.500000,5,2,0,2,0,1,0,0,1,1,
36788,3,9.500000,5,2,0,2,0,1,0,0,1,1,
36789,3,9.500000,5,2,0,2,0,1,0,0,1,1,
36790,3,9.500000,5,2,0,2,0,1,0,0,1,1,
36778,3,9.500000,5,2,0,2,0,1,0,0,1,1,
36779,3,9.500000,5,2,0,2,0,1,0,0,1,1,
36780,3,9.500000,5,2,0,2,0,1,0,0,1,1,
36756,3,9.500000,5,2,0,2,0,1,0,0,1,1,
36757,3,9.500000,5,2,0,2,0,1,0,0,1,1,
36758,3,9.500000,5,2,0,2,0,1,0,0,1,1,
33977,3,16.500000,16,7,0,6,3,0,0,1,0,1,
14643,2,21.000000,2,1,0,1,0,0,0,1,0,1,
36796,3,9.500000,5,2,0,2,0,1,0,0,1,1,
36797,3,9.500000,5,2,0,2,0,1,0,0,1,1,
36798,3,9.500000,5,2,0,2,0,1,0,0,1,1,
36772,3,9.500000,5,2,0,2,0,1,0,0,1,1,
36773,3,9.500000,5,2,0,2,0,1,0,0,1,1,
36774,3,9.500000,5,2,0,2,0,1,0,0,1,1,
36762,3,9.500000,5,2,0,2,0,1,0,0,1,1,
36763,3,9.500000,5,2,0,2,0,1,0,0,1,1,
36764,3,9.500000,5,2,0,2,0,1,0,0,1,1,
36748,3,9.500000,5,2,0,2,0,1,0,0,1,1,
36749,3,9.500000,5,2,0,2,0,1,0,0,1,1,
36750,3,9.500000,5,2,0,2,0,1,0,0,1,1,
38224,3,5.500000,4,2,0,2,0,0,0,1,0,1,
38218,3,5.500000,4,2,0,2,0,0,0,1,0,1,
20391,-2,5.000000,2,1,0,1,0,0,0,1,0,1,
36218,3,4.500000,5,2,0,2,0,1,0,0,1,1,
36294,3,4.500000,5,2,0,2,0,1,0,0,1,1,
36244,3,4.500000,5,2,0,2,0,1,0,0,1,1,
36046,3,4.500000,5,2,0,2,0,1,0,0,1,1,
36266,3,4.500000,5,2,0,2,0,1,0,0,1,1,
36062,3,4.500000,5,2,0,2,0,1,0,0,1,1,
36282,3,4.500000,5,2,0,2,0,1,0,0,1,1,
36074,3,4.500000,5,2,0,2,0,1,0,0,1,1,
29172,3,5.500000,4,2,1,1,0,0,0,1,0,1,
29185,3,5.500000,4,2,1,1,0,0,0,1,0,1,
36240,3,4.500000,5,2,0,2,0,1,0,0,1,1,
35877,3,4.500000,5,2,0,2,0,1,0,0,1,1,
36262,3,4.500000,5,2,0,2,0,1,0,0,1,1,
36058,3,4.500000,5,2,0,2,0,1,0,0,1,1,
36278,3,4.500000,5,2,0,2,0,1,0,0,1,1,
36070,3,4.500000,5,2,0,2,0,1,0,0,1,1,
36290,3,4.500000,5,2,0,2,0,1,0,0,1,1,
36078,3,4.500000,5,2,0,2,0,1,0,0,1,1,
36118,3,4.500000,5,2,0,2,0,1,0,0,1,1,
36192,3,4.500000,5,2,0,2,0,1,0,0,1,1,
36130,3,4.500000,5,2,0,2,0,1,0,0,1,1,
35974,3,4.500000,5,2,0,2,0,1,0,0,1,1,
36146,3,4.500000,5,2,0,2,0,1,0,0,1,1,
35986,3,4.500000,5,2,0,2,0,1,0,0,1,1,
36168,3,4.500000,5,2,0,2,0,1,0,0,1,1,
36000,3,4.500000,5,2,0,2,0,1,0,0,1,1,
18038,-1,3.000000,14,4,2,3,2,3,0,1,2,1,
33911,3,14.500000,16,6,4,6,0,0,0,1,0,1,
14413,2,20.000000,3,1,0,2,0,0,0,1,0,1,
14440,2,20.000000,3,1,0,2,0,0,0,1,0,1,
14467,2,20.000000,3,1,0,2,0,0,0,1,0,1,
18903,-1,5.000000,2,1,0,1,0,0,0,1,0,1,
37690,3,3.500000,6,2,2,2,0,0,0,1,0,1,
37694,3,3.500000,6,2,2,2,0,0,0,1,0,1,
36176,3,4.500000,5,2,0,2,0,1,0,0,1,1,
36276,3,4.500000,5,2,0,2,0,1,0,0,1,1,
36200,3,4.500000,5,2,0,2,0,1,0,0,1,1,
36018,3,4.500000,5,2,0,2,0,1,0,0,1,1,
36228,3,4.500000,5,2,0,2,0,1,0,0,1,1,
36036,3,4.500000,5,2,0,2,0,1,0,0,1,1,
36254,3,4.500000,5,2,0,2,0,1,0,0,1,1,
36056,3,4.500000,5,2,0,2,0,1,0,0,1,1,
36827,3,9.500000,5,2,0,2,0,1,0,0,1,1,
36821,3,9.500000,5,2,0,2,0,1,0,0,1,1,
36817,3,9.500000,5,2,0,2,0,1,0,0,1,1,
36799,3,9.500000,5,2,0,2,0,1,0,0,1,1,
33897,3,14.500000,16,6,4,6,0,0,0,1,0,1,
36825,3,9.500000,5,2,0,2,0,1,0,0,1,1,
36815,3,9.500000,5,2,0,2,0,1,0,0,1,1,
36805,3,9.500000,5,2,0,2,0,1,0,0,1,1,
36783,3,9.500000,5,2,0,2,0,1,0,0,1,1,
35904,3,4.500000,5,2,0,2,0,1,0,0,1,1,
35902,3,4.500000,5,2,0,2,0,1,0,0,1,1,
36194,3,5.500000,5,2,0,2,0,1,0,0,1,1,
36286,3,5.500000,5,2,0,2,0,1,0,0,1,1,
36222,3,5.500000,5,2,0,2,0,1,0,0,1,1,
36248,3,5.500000,5,2,0,2,0,1,0,0,1,1,
36030,3,5.500000,5,2,0,2,0,1,0,0,1,1,
36050,3,5.500000,5,2,0,2,0,1,0,0,1,1,
36270,3,5.500000,5,2,0,2,0,1,0,0,1,1,
36066,3,5.500000,5,2,0,2,0,1,0,0,1,1,
37803,3,3.500000,10,5,0,5,0,0,0,1,0,1,
33957,3,16.500000,16,7,0,6,3,0,0,1,0,1,
