line,type,level,gate_num,and,nand,or,nor,not,xor,fixed_0,fixed_1,non_fixed
12248,3,6.500000,337,45,28,65,8,191,0,6,0,6,
12256,3,6.500000,402,61,28,73,8,232,0,14,0,14,
12272,3,6.500000,467,77,28,81,8,273,0,22,0,22,
12196,3,6.500000,337,45,28,65,8,191,0,6,0,6,
12250,3,6.500000,320,48,28,45,8,191,0,9,0,9,
12252,3,6.500000,343,48,28,68,8,191,0,9,0,9,
12254,3,6.500000,330,49,28,54,8,191,0,2,0,2,
12260,3,6.500000,343,48,28,68,8,191,0,9,0,9,
12262,3,6.500000,328,48,28,53,8,191,0,1,0,1,
12264,3,6.500000,402,61,28,73,8,232,0,14,0,14,
12277,3,6.500000,343,48,28,68,8,191,0,9,0,9,
12279,3,6.500000,346,56,29,55,17,189,0,1,0,1,
6559,2,6.000000,11,1,5,1,0,4,0,1,0,1,
6331,2,6.000000,446,73,28,72,8,265,0,18,0,18,
6336,2,5.000000,334,57,28,50,8,191,0,10,0,10,
6343,2,5.000000,353,55,28,59,8,203,0,7,0,7,
6370,2,5.000000,55,6,25,4,0,20,0,9,0,9,
12192,3,6.500000,343,48,28,68,8,191,0,9,0,9,
6541,2,5.000000,5,1,0,0,0,4,0,1,0,1,
6368,2,5.000000,10,0,5,1,0,4,0,1,0,1,
12200,3,6.500000,343,48,28,68,8,191,0,9,0,9,
12202,3,6.500000,337,45,28,65,8,191,0,6,0,6,
12258,3,6.500000,337,56,28,54,8,191,0,9,0,9,
12266,3,6.500000,329,56,28,46,8,191,0,9,0,9,
12268,3,6.500000,343,48,28,68,8,191,0,9,0,9,
12270,3,6.500000,346,56,29,55,17,189,0,1,0,1,
12281,3,6.500000,352,64,29,53,17,189,0,9,0,9,
12198,3,6.500000,352,64,29,53,17,189,0,9,0,9,
8251,-1,6.000000,11,0,0,2,1,8,0,0,1,1,
6309,2,6.000000,347,56,28,64,8,191,0,9,0,9,
12206,3,6.500000,341,48,28,66,8,191,0,9,0,9,
12243,3,6.500000,343,48,28,68,8,191,0,9,0,9,
12369,3,7.500000,10,1,0,1,0,8,0,1,0,1,
7377,1,7.000000,5,0,0,1,0,4,0,0,1,1,
8698,-2,7.000000,5,0,1,0,0,4,0,1,0,1,
8701,-2,7.000000,5,0,1,0,0,4,0,1,0,1,
12190,3,6.500000,322,40,28,55,8,191,0,1,0,1,
12194,3,6.500000,346,56,29,55,17,189,0,1,0,1,
12276,3,6.500000,348,59,29,54,17,189,0,4,0,4,
8249,-1,6.000000,18,0,0,3,3,12,0,0,3,3,
6779,2,8.000000,97,20,28,7,0,42,0,20,0,20,
12379,3,8.500000,11,2,2,1,0,6,0,1,0,1,
12356,3,7.500000,10,2,2,2,0,4,0,1,0,1,
12376,3,8.500000,10,2,2,2,0,4,0,1,0,1,
12390,3,9.500000,11,2,2,1,0,6,0,1,0,1,
12387,3,9.500000,11,2,2,1,0,6,0,1,0,1,
11097,3,9.500000,10,1,0,1,0,8,0,1,0,1,
11098,3,9.500000,10,1,0,1,0,8,0,1,0,1,
11099,3,9.500000,10,1,0,1,0,8,0,1,0,1,
11171,3,9.500000,10,1,0,1,0,8,0,1,0,1,
6880,2,11.000000,13,2,4,1,0,6,0,2,0,2,
12401,3,10.500000,11,2,2,1,0,6,0,1,0,1,
7471,1,10.000000,34,1,3,3,5,22,0,0,2,2,
7542,1,12.000000,1139,385,29,223,35,467,0,0,276,276,
8716,-2,12.000000,13,3,0,2,0,8,0,2,0,2,
12467,3,13.500000,11,2,2,1,0,6,0,1,0,1,
11513,3,13.500000,5,0,0,0,1,4,0,0,1,1,
6811,2,13.000000,12,2,0,2,0,8,0,1,0,1,
12471,3,14.500000,11,2,2,1,0,6,0,1,0,1,
13300,3,15.500000,14,2,0,0,0,12,0,2,0,2,
12421,3,16.500000,86,14,12,11,0,49,0,1,0,1,
12422,3,16.500000,86,14,12,11,0,49,0,1,0,1,
12423,3,16.500000,86,14,12,11,0,49,0,1,0,1,
12435,3,16.500000,86,14,12,11,0,49,0,1,0,1,
12436,3,16.500000,86,14,12,11,0,49,0,1,0,1,
12440,3,16.500000,86,14,12,11,0,49,0,1,0,1,
12441,3,16.500000,86,14,12,11,0,49,0,1,0,1,
12442,3,16.500000,86,14,12,11,0,49,0,1,0,1,
11582,3,18.500000,85,13,12,11,0,49,0,1,0,1,
11583,3,18.500000,85,13,12,11,0,49,0,1,0,1,
11584,3,18.500000,85,13,12,11,0,49,0,1,0,1,
11585,3,18.500000,85,13,12,11,0,49,0,1,0,1,
11586,3,18.500000,85,13,12,11,0,49,0,1,0,1,
11587,3,18.500000,85,13,12,11,0,49,0,1,0,1,
11588,3,18.500000,85,13,12,11,0,49,0,1,0,1,
11589,3,18.500000,85,13,12,11,0,49,0,1,0,1,
12078,3,19.500000,7,1,0,1,0,5,0,0,1,1,
12079,3,19.500000,7,1,0,1,0,5,0,0,1,1,
12080,3,19.500000,7,1,0,1,0,5,0,0,1,1,
12081,3,19.500000,7,1,0,1,0,5,0,0,1,1,
12082,3,19.500000,7,1,0,1,0,5,0,0,1,1,
12083,3,19.500000,7,1,0,1,0,5,0,0,1,1,
12084,3,19.500000,7,1,0,1,0,5,0,0,1,1,
12085,3,19.500000,7,1,0,1,0,5,0,0,1,1,
12030,3,19.500000,7,1,0,1,0,5,0,0,1,1,
12031,3,19.500000,7,1,0,1,0,5,0,0,1,1,
12032,3,19.500000,7,1,0,1,0,5,0,0,1,1,
12033,3,19.500000,7,1,0,1,0,5,0,0,1,1,
12034,3,19.500000,7,1,0,1,0,5,0,0,1,1,
12035,3,19.500000,7,1,0,1,0,5,0,0,1,1,
12036,3,19.500000,7,1,0,1,0,5,0,0,1,1,
12037,3,19.500000,7,1,0,1,0,5,0,0,1,1,
12046,3,19.500000,7,1,0,1,0,5,0,0,1,1,
12047,3,19.500000,7,1,0,1,0,5,0,0,1,1,
12048,3,19.500000,7,1,0,1,0,5,0,0,1,1,
12049,3,19.500000,7,1,0,1,0,5,0,0,1,1,
12050,3,19.500000,7,1,0,1,0,5,0,0,1,1,
12051,3,19.500000,7,1,0,1,0,5,0,0,1,1,
12052,3,19.500000,7,1,0,1,0,5,0,0,1,1,
