line,type,level,gate_num,and,nand,or,nor,not,xor,fixed_0,fixed_1,non_fixed
10097,-1,21.000000,2165,427,176,260,72,1230,0,0,46,46,
10098,-1,21.000000,2068,375,176,243,67,1207,0,0,47,47,
10099,-1,21.000000,2095,391,176,244,74,1210,0,0,57,57,
8100,2,25.000000,2013,329,176,231,64,1213,0,5,0,5,
13693,3,25.500000,858,182,74,103,9,490,0,0,1,1,
9173,1,41.000000,11,1,0,2,1,7,0,0,2,2,
9184,1,45.000000,562,151,36,75,1,299,0,0,2,2,
9181,1,45.000000,8,1,0,2,1,4,0,0,3,3,
8411,2,50.000000,9,2,1,2,0,4,0,1,0,1,
14682,3,52.500000,6,1,0,1,0,4,0,1,0,1,
14683,3,52.500000,6,1,0,1,0,4,0,1,0,1,
14684,3,52.500000,6,1,0,1,0,4,0,1,0,1,
14685,3,52.500000,6,1,0,1,0,4,0,1,0,1,
