line,type,level,gate_num,fixed_0,fixed_1,cop0,cop1,c
15893,3,13.500000,31,1.000000,0.000000,0.955655,0.044345,-0.455655,
15887,3,13.500000,31,1.000000,0.000000,0.955649,0.044351,-0.455649,
15879,3,11.500000,36,1.000000,0.000000,0.949898,0.050102,-0.449898,
15284,3,2.500000,17,0.000000,1.000000,0.051999,0.948001,-0.448001,
15262,3,2.500000,17,0.000000,1.000000,0.052046,0.947954,-0.447954,
10333,-2,5.000000,58,2.000000,0.000000,0.916660,0.083340,-0.833320,
15891,3,13.500000,31,1.000000,0.000000,0.943730,0.056270,-0.443731,
10339,-2,5.000000,58,2.000000,0.000000,0.983477,0.016523,-0.966953,
15884,3,11.500000,37,1.000000,0.000000,0.920575,0.079425,-0.420575,
14026,3,2.500000,11,1.000000,0.000000,0.979803,0.020197,-0.479803,
10343,-2,5.000000,26,2.000000,0.000000,0.913942,0.086058,-0.827885,
10344,-2,5.000000,18,2.000000,0.000000,0.913942,0.086058,-0.827885,
10346,-2,5.000000,35,2.000000,0.000000,0.913942,0.086058,-0.827885,
8932,1,13.000000,12,2.000000,0.000000,0.917746,0.082254,-0.835493,
10350,-2,5.000000,35,2.000000,0.000000,0.913942,0.086058,-0.827885,
10354,-2,5.000000,58,2.000000,0.000000,0.911611,0.088389,-0.823222,
9572,-1,3.000000,142,0.000000,2.000000,0.088691,0.911309,-0.822618,
9579,-1,3.000000,81,0.000000,2.000000,0.088702,0.911298,-0.822597,
7125,2,4.000000,40,5.000000,5.000000,0.958162,0.041838,-0.000000,
9566,-1,3.000000,73,0.000000,2.000000,0.088702,0.911298,-0.822595,
14028,3,2.500000,13,1.000000,0.000000,0.979803,0.020197,-0.479803,
7805,2,18.000000,9,1.000000,0.000000,0.978200,0.021800,-0.478200,
15693,3,17.500000,9,1.000000,0.000000,0.976602,0.023398,-0.476602,
14015,3,2.500000,11,1.000000,0.000000,0.976196,0.023804,-0.476196,
14017,3,2.500000,13,1.000000,0.000000,0.976196,0.023804,-0.476196,
12756,3,4.500000,16,2.000000,0.000000,0.969027,0.030973,-0.938054,
12754,3,4.500000,15,2.000000,0.000000,0.969027,0.030973,-0.938054,
8774,1,9.000000,9,1.000000,0.000000,0.973938,0.026062,-0.473938,
15714,3,19.500000,11,1.000000,0.000000,0.973580,0.026420,-0.473580,
12681,3,4.500000,15,1.000000,0.000000,0.969378,0.030622,-0.469378,
13281,3,10.500000,16,1.000000,0.000000,0.969252,0.030748,-0.469252,
10465,-2,44.000000,8,1.000000,0.000000,0.964301,0.035699,-0.464301,
10361,-2,11.000000,43,1.000000,0.000000,0.920575,0.079425,-0.420575,
8411,2,50.000000,9,1.000000,0.000000,0.919403,0.080597,-0.419403,
7547,2,9.000000,7,1.000000,0.000000,0.910681,0.089319,-0.410681,
10337,-2,5.000000,58,2.000000,0.000000,0.918315,0.081685,-0.836630,
7544,2,12.000000,16,2.000000,0.000000,0.903460,0.096540,-0.806920,
